id,rank,name,symbol,slug,is_active,first_historical_data,last_historical_data,platform,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address
1839,5.0,BNB,BNB,bnb,1,2017-07-25T04:30:00.000Z,2024-11-09T05:00:00.000Z,,,,,,
1,1.0,Bitcoin,BTC,bitcoin,1,2010-07-13T00:05:00.000Z,2024-11-09T05:00:00.000Z,,,,,,
32295,5531.0,Bullish Trump Coin,BTC,bullish-trump-coin,1,2024-07-19T10:30:00.000Z,2024-11-09T05:05:00.000Z,,1.0,Ethereum,ETH,ethereum,0x43FD9De06bb69aD771556E171f960A91c42D2955
31652,5551.0,batcat,BTC,batcat,1,2024-06-06T09:35:00.000Z,2024-11-09T05:05:00.000Z,,16.0,Solana,SOL,solana,EtBc6gkCvsB9c6f5wSbwG8wPjRqXMB5euptK6bqG1R4X
31469,6326.0,Boost Trump Campaign,BTC,boost-trump-campaign,1,2024-05-27T12:00:00.000Z,2024-11-09T05:05:00.000Z,,1.0,Ethereum,ETH,ethereum,0x300e0d87f8c95d90cfe4b809baa3a6c90e83b850
30938,7975.0,Satoshi Pumpomoto,BTC,satoshi-pumpomoto,1,2024-04-26T07:30:00.000Z,2024-11-09T05:05:00.000Z,,16.0,Solana,SOL,solana,6AGNtEgBE2jph1bWFdyaqsXJ762emaP9RE17kKxEsfiV
24478,24.0,Pepe,PEPE,pepe,1,2023-04-17T06:40:00.000Z,2024-11-09T05:05:00.000Z,,1.0,Ethereum,ETH,ethereum,0x6982508145454ce325ddbe47a25d4ec3d2311933
24549,2794.0,Arbi Pepe,PEPE,arbi-pepe,1,2023-04-19T11:55:00.000Z,2024-11-09T05:05:00.000Z,,51.0,Arbitrum,ARB,arbitrum,0xB85C6FBF780eB913dC34aA0B6F74D1e6A15c356f
33050,2960.0,Based Pepe,PEPE,based-pepe,1,2024-09-17T13:30:00.000Z,2024-11-09T05:05:00.000Z,,199.0,Base,TBA,base,0x52b492a33E447Cdb854c7FC19F1e57E8BfA1777D
32643,3167.0,MOG PEPE,PEPE,mog-pepe,1,2024-08-15T10:30:00.000Z,2024-11-09T05:05:00.000Z,,14.0,BNB Smart Chain (BEP20),BNB,bnb,0xdce796806394E015b7BcF71d1558181A194fC62a
31616,3263.0,Pepe,PEPE,pepe-solana,1,2024-06-04T08:00:00.000Z,2024-11-09T05:05:00.000Z,,16.0,Solana,SOL,solana,B5WTLaRwaUQpKk7ir1wniNB6m5o8GgMrimhKMYan2R6B
22454,3273.0,PepePAD,PEPE,pepepad-vip,1,2023-05-10T22:40:00.000Z,2024-11-09T05:05:00.000Z,,14.0,BNB Smart Chain (BEP20),BNB,bnb,0xef00278d7eadf3b2c05267a2f185e468ad7eab7d
